anciennete,campement,OFA,tribu,quartier,etabli,activites_tribu,interactions_tribu,tribu_total,activites_QA,interactions_QA,QA_total,manages,Es-tu manager/manageuse ?,"Si tu es manager/manageuse, combien de managé.e.s direct(s) as-tu ?",manager,egalite_pro,competences_parcours,sante_conditions_travail,OCTO_total,statut6mois,missions_taches
Entre 1 et 3 ans,OCTO Paris,Non,F,Product & Design,Produit,4.0,3.75,3.875,3.5,3.5,3.5,3.0,Oui,,3.0,3.25,2.75,5.2,3.44,En mission chez un/des client(s),5.5
Entre 3 et 7 ans,Toulouse,Non,G,Product & Design,Produit,3.0,5.0,4.0,4.0,4.0,4.0,3.0,Oui,,3.0,4.5,3.5,3.0,3.4,En mission chez un/des client(s),3.5
Entre 3 et 7 ans,Chtis,Non,H,Product & Design,Produit,2.75,4.0,3.375,2.5,5.25,3.875,3.0,Oui,,3.0,4.25,4.75,4.8,3.96,En mission chez un/des client(s),5.0
Moins de 1 an,Toulouse,Non,User Research,Product & Design,Produit,4.25,3.75,4.0,2.5,5.25,3.875,3.0,Non,,,4.0,3.75,5.2,3.9875,En mission chez un/des client(s),7.0
Moins de 1 an,Chtis,Non,User Research,Product & Design,Produit,3.5,2.25,2.875,3.5,5.75,4.625,3.0,Non,,,3.75,5.25,3.6,3.9,En mission chez un/des client(s),3.0
Entre 1 et 3 ans,Toulouse,Non,User Research,Product & Design,Produit,4.0,6.25,5.125,4.0,3.75,3.875,3.0,Non,,,1.5,3.25,5.4,3.2875,En mission chez un/des client(s),2.5
Entre 3 et 7 ans,OCTO Paris,Non,A,Product & Design,Produit,4.5,3.5,4.0,3.0,5.0,4.0,3.0,Non,,,2.75,5.0,4.0,3.6875,En mission chez un/des client(s),6.0
Entre 3 et 7 ans,OCTO Paris,Non,B,Product & Design,Produit,4.75,5.25,5.0,4.75,3.75,4.25,3.0,Non,,,5.0,3.25,3.4,3.6625,En mission chez un/des client(s),3.0
Entre 1 et 3 ans,OCTO Paris,Non,C,Product & Design,Produit,2.25,5.0,3.625,3.75,3.75,3.75,3.0,Non,,,4.5,5.25,4.6,4.3375,En mission chez un/des client(s),4.0
Entre 3 et 7 ans,OCTO Paris,Non,D,Product & Design,Produit,5.25,5.0,5.125,5.25,2.75,4.0,3.0,Non,,,3.5,3.75,3.8,3.5125,En mission chez un/des client(s),2.5
Entre 3 et 7 ans,OCTO Paris,Non,E,Product & Design,Produit,5.0,3.5,4.25,5.0,5.0,5.0,3.0,Non,,,3.25,4.25,5.6,4.025,En mission chez un/des client(s),5.5
Entre 3 et 7 ans,OCTO Paris,Non,F,Product & Design,Produit,4.25,5.0,4.625,2.5,2.0,2.25,3.0,Non,,,3.0,4.5,3.6,3.525,En mission chez un/des client(s),3.5
Entre 1 et 3 ans,OCTO Paris,Non,G,Product & Design,Produit,3.0,4.25,3.625,5.75,4.75,5.25,3.0,Non,,,4.5,4.75,3.4,3.9125,En mission chez un/des client(s),5.0
Entre 1 et 3 ans,OCTO Paris,Non,H,Product & Design,Produit,4.75,2.75,3.75,4.75,4.25,4.5,3.0,Non,,,3.0,4.0,3.4,3.35,En mission chez un/des client(s),7.0
Moins de 1 an,Toulouse,Non,User Research,Product & Design,Produit,5.5,6.0,5.75,3.75,4.75,4.25,3.0,Oui,,3.0,3.75,5.25,4.6,3.9200000000000004,En mission chez un/des client(s),3.5
Entre 3 et 7 ans,Chtis,Non,User Research,Product & Design,Produit,4.75,4.0,4.375,3.25,3.25,3.25,3.0,Oui,,3.0,5.75,3.0,5.2,3.9899999999999998,En mission chez un/des client(s),3.0
Entre 1 et 3 ans,Toulouse,Non,User Research,Product & Design,Produit,4.5,2.75,3.625,3.75,4.25,4.0,3.0,Oui,,3.0,5.25,4.5,5.6,4.2700000000000005,En mission chez un/des client(s),3.0
Entre 1 et 3 ans,Chtis,Non,A,Product & Design,Produit,2.75,3.0,2.875,5.0,4.0,4.5,3.0,Non,,,3.75,4.25,3.6,3.65,En mission chez un/des client(s),3.5
Entre 1 et 3 ans,Toulouse,Non,B,Product & Design,Produit,4.25,3.25,3.75,2.25,3.25,2.75,3.0,Non,,,5.5,4.0,4.2,4.175,En mission chez un/des client(s),1.5
Plus de 7 ans,OCTO Paris,Non,C,Product & Design,Produit,3.75,6.0,4.875,5.0,3.25,4.125,3.0,Non,,,3.5,5.25,4.2,3.9875,En mission chez un/des client(s),3.5
Entre 1 et 3 ans,OCTO Paris,Non,D,Product & Design,Produit,4.25,3.75,4.0,4.25,5.0,4.625,3.0,Non,,,2.75,5.75,5.8,4.325,En mission chez un/des client(s),3.5
Entre 1 et 3 ans,OCTO Paris,Non,E,Product & Design,Produit,3.25,3.5,3.375,4.0,3.5,3.75,3.0,Non,,,3.5,2.75,4.6,3.4625,En mission chez un/des client(s),2.5
Entre 1 et 3 ans,OCTO Paris,Non,F,Product & Design,Produit,4.0,3.5,3.75,3.25,4.0,3.625,3.0,Non,,,5.75,4.75,3.6,4.275,En mission chez un/des client(s),5.5
Plus de 7 ans,OCTO Paris,Non,G,Product & Design,Produit,2.0,2.5,2.25,5.25,4.5,4.875,3.0,Oui,,3.0,4.5,5.5,5.0,4.2,En mission chez un/des client(s),5.0
Entre 3 et 7 ans,OCTO Paris,Non,H,Product & Design,Produit,3.5,4.5,4.0,4.5,6.5,5.5,3.0,Oui,,3.0,3.75,3.5,4.6,3.5700000000000003,En mission chez un/des client(s),4.0
Entre 1 et 3 ans,OCTO Paris,Non,User Research,Product & Design,Produit,5.25,5.0,5.125,4.25,3.25,3.75,3.0,Oui,,3.0,4.0,4.75,3.6,3.6700000000000004,En mission chez un/des client(s),5.0
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Product & Design,Produit,2.75,3.0,2.875,3.25,3.25,3.25,3.0,Non,,,3.5,3.75,2.6,3.2125,fonctions coeur,
Entre 1 et 3 ans,Toulouse,Non,User Research,Product & Design,Produit,5.0,5.25,5.125,5.5,4.25,4.875,3.0,Non,,,3.5,2.25,4.6,3.3375,fonctions coeur,
Entre 1 et 3 ans,Chtis,Non,A,Product & Design,Produit,3.5,4.75,4.125,4.75,3.5,4.125,3.0,Non,,,3.25,3.75,2.8,3.2,fonctions coeur,
Moins de 1 an,Toulouse,Non,B,Product & Design,Produit,4.25,4.25,4.25,4.25,4.5,4.375,3.0,Non,,,4.5,5.0,4.8,4.325,fonctions coeur,
Plus de 7 ans,Chtis,Non,C,Product & Design,Produit,4.0,4.75,4.375,3.75,4.0,3.875,3.0,Non,,,5.0,2.25,3.4,3.4125,fonctions coeur,
Entre 1 et 3 ans,Toulouse,Non,D,Product & Design,Produit,5.25,5.25,5.25,3.25,4.0,3.625,3.0,Non,,,4.0,3.25,3.6,3.4625,fonctions coeur,
Entre 1 et 3 ans,OCTO Paris,Non,E,Product & Design,Produit,3.75,3.5,3.625,3.5,1.75,2.625,3.0,Oui,,3.0,4.5,4.5,2.4,3.4799999999999995,fonctions coeur,
Plus de 7 ans,OCTO Paris,Non,F,Product & Design,Produit,3.5,3.75,3.625,4.25,4.0,4.125,3.0,Oui,,3.0,3.5,4.0,4.2,3.54,fonctions coeur,
Entre 3 et 7 ans,OCTO Paris,Non,G,Product & Design,Produit,2.5,4.5,3.5,4.25,3.75,4.0,3.0,Oui,,3.0,6.5,4.0,3.8,4.0600000000000005,fonctions coeur,
Entre 1 et 3 ans,OCTO Paris,Non,H,Product & Design,Autre,5.75,4.0,4.875,4.25,2.25,3.25,3.0,Non,,,4.0,3.0,4.2,3.55,fonctions coeur,
Plus de 7 ans,OCTO Paris,Non,User Research,Product & Design,Autre,2.25,3.5,2.875,6.5,3.75,5.125,3.0,Non,,,3.0,1.5,3.4,2.725,fonctions coeur,
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Product & Design,Autre,4.0,3.0,3.5,4.75,4.25,4.5,3.0,Non,,,3.5,2.75,3.4,3.1625,fonctions coeur,
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Product & Design,Autre,5.5,1.5,3.5,3.0,6.0,4.5,3.0,Non,,,5.0,4.0,2.8,3.7,fonctions coeur,
Plus de 7 ans,OCTO Paris,Non,A,Product & Design,Autre,5.5,4.75,5.125,4.5,5.5,5.0,3.0,Non,,,4.25,3.0,3.8,3.5125,fonctions coeur,
Plus de 7 ans,Toulouse,Non,B,Product & Design,Autre,3.75,2.5,3.125,2.5,2.25,2.375,3.0,Non,,,2.5,3.5,4.4,3.35,fonctions coeur,
Entre 3 et 7 ans,Chtis,Non,C,Product & Design,Autre,4.5,2.75,3.625,3.5,1.25,2.375,3.0,Non,,,3.75,5.25,2.8,3.7,fonctions coeur,
Entre 1 et 3 ans,Toulouse,Non,D,Product & Design,Autre,2.5,4.5,3.5,3.5,2.5,3.0,3.0,Non,,,3.5,3.75,3.8,3.5125,fonctions coeur,
Entre 1 et 3 ans,Chtis,Non,E,Product & Design,Autre,2.5,4.75,3.625,4.0,5.25,4.625,3.0,Non,,,5.0,3.5,3.8,3.825,fonctions coeur,
Plus de 7 ans,OCTO Paris,Oui,User Research,Software engineering,Web front,4.75,3.75,4.25,4.75,3.75,4.25,4.0,Non,,,4.25,3.75,4.2,4.05,En mission chez un/des client(s),4.333333333333333
Moins de 1 an,OCTO Paris,Oui,User Research,Software engineering,Web front,3.75,3.75,3.75,3.75,3.75,3.75,6.0,Non,,,4.5,3.75,3.6,4.4625,En mission chez un/des client(s),3.3333333333333335
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Software engineering,Web front,5.25,2.75,4.0,5.25,2.75,4.0,4.333333333333333,Non,,,5.25,4.5,3.0,4.270833333333333,En mission chez un/des client(s),4.0
Moins de 1 an,OCTO Paris,Oui,User Research,Software engineering,A,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Non,,,5.5,2.75,3.6,3.7125,En mission chez un/des client(s),5.666666666666667
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Software engineering,A,2.5,2.0,2.25,2.5,2.0,2.25,5.0,Non,,,3.5,3.5,3.2,3.8,En mission chez un/des client(s),2.3333333333333335
Entre 1 et 3 ans,OCTO Paris,Oui,User Research,Software engineering,A,5.75,4.75,5.25,5.75,4.75,5.25,5.0,Non,,,2.75,2.75,3.0,3.375,En mission chez un/des client(s),3.6666666666666665
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Software engineering,A,4.75,4.25,4.5,4.75,4.25,4.5,4.0,Oui,,6.0,4.5,5.25,4.0,4.75,En mission chez un/des client(s),3.3333333333333335
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Software engineering,A,3.75,4.75,4.25,3.75,4.75,4.25,3.6666666666666665,Oui,,6.0,3.75,2.5,3.0,3.7833333333333328,En mission chez un/des client(s),5.666666666666667
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Software engineering,A,3.25,3.25,3.25,3.25,3.25,3.25,5.666666666666667,Oui,,6.0,3.5,3.75,5.2,4.823333333333333,En mission chez un/des client(s),4.666666666666667
Moins de 1 an,OCTO Paris,Oui,User Research,Software engineering,A,3.75,4.25,4.0,3.75,4.25,4.0,4.0,Non,,,4.75,3.75,3.4,3.975,En mission chez un/des client(s),4.333333333333333
Plus de 7 ans,OCTO Paris,Oui,User Research,Software engineering,A,5.0,4.0,4.5,5.0,4.0,4.5,3.6666666666666665,Non,,,3.75,5.25,2.4,3.7666666666666666,En mission chez un/des client(s),4.333333333333333
Entre 1 et 3 ans,OCTO Paris,Oui,User Research,Software engineering,A,2.25,3.25,2.75,2.25,3.25,2.75,3.0,Non,,,4.0,4.0,4.2,3.8,En mission chez un/des client(s),5.0
Plus de 7 ans,Toulouse,Non,A,Software engineering,A,5.0,3.25,4.125,5.0,3.25,4.125,6.0,Non,,,4.25,3.75,3.0,4.25,En mission chez un/des client(s),2.6666666666666665
Entre 1 et 3 ans,Chtis,Non,B,Software engineering,A,4.25,5.0,4.625,4.25,5.0,4.625,3.0,Non,,,4.75,3.75,3.2,3.675,En mission chez un/des client(s),7.0
Entre 3 et 7 ans,Toulouse,Non,C,Software engineering,A,4.0,3.5,3.75,4.0,3.5,3.75,1.6666666666666667,Non,,,5.5,3.25,3.8,3.554166666666667,En mission chez un/des client(s),4.0
Entre 1 et 3 ans,Chtis,Non,D,Software engineering,A,3.25,4.0,3.625,3.25,4.0,3.625,1.6666666666666667,Oui,,6.0,4.5,5.0,3.8,4.193333333333333,En mission chez un/des client(s),4.0
Entre 3 et 7 ans,Toulouse,Non,E,Software engineering,A,5.25,4.5,4.875,5.25,4.5,4.875,3.0,Oui,,6.0,3.5,3.5,3.4,3.88,En mission chez un/des client(s),5.333333333333333
Moins de 1 an,OCTO Paris,Non,F,Software engineering,A,4.5,6.5,5.5,4.5,6.5,5.5,6.0,Oui,,6.0,4.25,3.0,5.2,4.89,En mission chez un/des client(s),4.333333333333333
Entre 3 et 7 ans,OCTO Paris,Non,G,Software engineering,A,4.25,3.25,3.75,4.25,3.25,3.75,3.3333333333333335,Non,,,4.0,5.75,4.6,4.420833333333333,En mission chez un/des client(s),6.0
Entre 3 et 7 ans,OCTO Paris,Non,H,Software engineering,A,3.25,3.25,3.25,3.25,3.25,3.25,2.0,Non,,,4.0,5.5,4.6,4.025,missions et intercontrat,5.25
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Software engineering,A,5.5,4.25,4.875,5.5,4.25,4.875,1.6666666666666667,Non,,,3.75,5.25,4.8,3.866666666666667,missions et intercontrat,3.5
Moins de 1 an,OCTO Paris,Non,User Research,Software engineering,A,4.75,4.75,4.75,4.75,4.75,4.75,2.0,Non,,,5.0,4.25,4.0,3.8125,missions et intercontrat,5.25
Plus de 7 ans,OCTO Paris,Non,User Research,Software engineering,A,3.75,5.75,4.75,3.75,5.75,4.75,3.0,Non,,,4.5,1.75,3.0,3.0625,missions et intercontrat,4.25
Entre 1 et 3 ans,OCTO Paris,Non,A,Software engineering,A,4.0,4.5,4.25,4.0,4.5,4.25,3.6666666666666665,Non,,,5.0,4.0,5.8,4.616666666666666,missions et intercontrat,3.75
Moins de 1 an,OCTO Paris,Non,B,Software engineering,A,5.0,5.0,5.0,5.0,5.0,5.0,5.333333333333333,Oui,,6.0,4.75,4.75,2.8,4.726666666666667,missions et intercontrat,3.0
Plus de 7 ans,Toulouse,Non,C,Software engineering,A,6.5,3.75,5.125,3.75,4.75,4.25,6.333333333333333,Oui,,3.0,4.5,4.5,4.4,4.546666666666667,intercontrat,6.0
Entre 3 et 7 ans,Chtis,Non,D,Software engineering,A,4.75,4.25,4.5,3.0,4.5,3.75,3.6666666666666665,Oui,,3.0,3.75,5.0,5.4,4.163333333333333,intercontrat,4.0
Moins de 1 an,Toulouse,Non,E,Software engineering,A,3.0,6.0,4.5,3.25,3.0,3.125,3.3333333333333335,Non,,,2.75,2.25,3.8,3.033333333333333,intercontrat,6.0
Plus de 7 ans,Chtis,Non,F,Software engineering,A,4.5,5.5,5.0,2.25,5.0,3.625,2.3333333333333335,Non,,,4.0,6.25,4.0,4.145833333333334,intercontrat,4.0
Entre 1 et 3 ans,Toulouse,Non,G,Software engineering,B,2.5,2.25,2.375,4.75,4.5,4.625,4.666666666666667,Non,,,5.25,2.75,3.8,4.116666666666667,intercontrat,4.0
Plus de 7 ans,OCTO Paris,Non,H,Software engineering,B,3.5,1.25,2.375,2.5,2.25,2.375,5.333333333333333,Non,,,3.25,1.5,5.0,3.770833333333333,intercontrat,1.0
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Software engineering,B,3.5,2.5,3.0,3.5,1.25,2.375,2.6666666666666665,Non,,,4.75,4.0,3.8,3.8041666666666663,intercontrat,7.0
Moins de 1 an,OCTO Paris,Non,User Research,Software engineering,B,4.0,5.25,4.625,3.5,2.5,3.0,4.333333333333333,Non,,,5.25,4.25,4.4,4.558333333333334,intercontrat,3.0
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Software engineering,B,4.5,5.0,4.75,4.0,5.25,4.625,3.3333333333333335,Oui,,3.0,4.0,4.5,3.2,3.606666666666667,intercontrat,4.0
Entre 1 et 3 ans,OCTO Paris,Non,A,Software engineering,B,3.5,3.5,3.5,4.5,5.0,4.75,5.0,Oui,,3.0,4.0,4.5,4.0,4.1,intercontrat,7.0
Entre 3 et 7 ans,OCTO Paris,Non,B,Software engineering,B,5.0,2.75,3.875,3.5,3.5,3.5,1.6666666666666667,Oui,,3.0,7.0,3.5,2.8,3.5933333333333337,intercontrat,3.0
Entre 1 et 3 ans,OCTO Paris,Non,C,Software engineering,B,5.5,3.5,4.5,5.0,2.75,3.875,2.3333333333333335,Non,,,4.0,3.5,4.4,3.5583333333333336,intercontrat,1.0
Entre 3 et 7 ans,OCTO Paris,Non,D,Software engineering,B,3.5,3.5,3.5,5.5,3.5,4.5,3.6666666666666665,Non,,,3.25,4.25,5.0,4.041666666666666,intercontrat,6.0
Entre 1 et 3 ans,Toulouse,Non,E,Software engineering,B,4.0,4.0,4.0,3.5,3.5,3.5,5.333333333333333,Non,,,3.5,4.0,3.8,4.158333333333333,intercontrat,4.0
Entre 1 et 3 ans,Chtis,Non,F,Software engineering,B,2.5,5.25,3.875,4.0,4.0,4.0,3.6666666666666665,Non,,,2.75,4.75,4.0,3.7916666666666665,intercontrat,3.0
Entre 3 et 7 ans,Toulouse,Non,G,Software engineering,B,2.5,5.25,3.875,2.5,5.25,3.875,4.666666666666667,Non,,,5.0,6.25,4.6,5.129166666666666,En mission chez un/des client(s),4.666666666666667
Entre 1 et 3 ans,Chtis,Non,H,Software engineering,B,3.5,5.75,4.625,2.5,5.25,3.875,3.3333333333333335,Non,,,3.75,5.0,4.2,4.070833333333334,En mission chez un/des client(s),3.0
Entre 1 et 3 ans,Toulouse,Non,User Research,Software engineering,B,4.0,3.75,3.875,3.5,5.75,4.625,4.666666666666667,Oui,,3.0,3.25,2.75,5.2,3.7733333333333334,En mission chez un/des client(s),4.0
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Software engineering,B,3.0,5.0,4.0,4.0,3.75,3.875,2.3333333333333335,Oui,,3.0,4.5,3.5,3.0,3.266666666666667,En mission chez un/des client(s),4.333333333333333
Entre 1 et 3 ans,OCTO Paris,Non,User Research,Software engineering,B,2.75,4.0,3.375,3.0,5.0,4.0,3.3333333333333335,Oui,,3.0,4.25,4.75,4.8,4.026666666666666,En mission chez un/des client(s),5.666666666666667
Plus de 7 ans,OCTO Paris,Non,A,Software engineering,B,4.25,3.75,4.0,2.75,4.0,3.375,5.333333333333333,Non,,,4.0,3.75,5.2,4.570833333333333,En mission chez un/des client(s),5.333333333333333
Entre 1 et 3 ans,OCTO Paris,Non,B,Software engineering,B,3.5,2.25,2.875,4.25,3.75,4.0,4.666666666666667,Non,,,3.75,5.25,3.6,4.316666666666667,En mission chez un/des client(s),3.3333333333333335
Entre 1 et 3 ans,OCTO Paris,Non,C,Software engineering,B,4.0,6.25,5.125,3.5,2.25,2.875,4.0,Non,,,1.5,3.25,5.4,3.5375,En mission chez un/des client(s),2.6666666666666665
Entre 1 et 3 ans,OCTO Paris,Non,D,Software engineering,B,4.5,3.5,4.0,4.0,6.25,5.125,6.0,Non,,,2.75,5.0,4.0,4.4375,En mission chez un/des client(s),4.666666666666667
Entre 1 et 3 ans,OCTO Paris,Non,E,Software engineering,B,4.75,5.25,5.0,4.5,3.5,4.0,3.6666666666666665,Non,,,5.0,3.25,3.4,3.8291666666666666,En mission chez un/des client(s),4.0
Entre 1 et 3 ans,OCTO Paris,Non,F,Software engineering,B,2.25,5.0,3.625,4.75,5.25,5.0,5.666666666666667,Non,,,4.5,5.25,4.6,5.004166666666666,En mission chez un/des client(s),3.6666666666666665
Entre 3 et 7 ans,Toulouse,Non,G,Software engineering,B,5.25,5.0,5.125,2.25,5.0,3.625,4.333333333333333,Non,,,3.5,3.75,3.8,3.845833333333333,En mission chez un/des client(s),3.6666666666666665
Entre 3 et 7 ans,Chtis,Non,H,Software engineering,B,5.0,3.5,4.25,5.25,5.0,5.125,4.333333333333333,Non,,,3.25,4.25,5.6,4.3583333333333325,En mission chez un/des client(s),5.333333333333333
Moins de 1 an,Toulouse,Non,User Research,Software engineering,B,4.25,5.0,4.625,5.0,3.5,4.25,5.0,Non,,,3.0,4.5,3.6,4.025,En mission chez un/des client(s),3.6666666666666665
Moins de 1 an,Chtis,Non,User Research,Software engineering,B,3.0,4.25,3.625,4.25,5.0,4.625,3.0,Non,,,4.5,4.75,3.4,3.9125,En mission chez un/des client(s),5.0
Entre 1 et 3 ans,Toulouse,Non,User Research,Software engineering,B,4.75,2.75,3.75,3.0,4.25,3.625,5.0,Non,,,3.0,4.0,3.4,3.85,En mission chez un/des client(s),6.0
Entre 3 et 7 ans,OCTO Paris,Non,A,Software engineering,B,5.5,6.0,5.75,4.75,2.75,3.75,3.3333333333333335,Oui,,3.0,3.75,5.25,4.6,3.986666666666667,En mission chez un/des client(s),4.666666666666667
Entre 3 et 7 ans,OCTO Paris,Non,B,Software engineering,B,4.75,4.0,4.375,5.5,6.0,5.75,4.333333333333333,Oui,,3.0,5.75,3.0,5.2,4.256666666666666,En mission chez un/des client(s),3.6666666666666665
Entre 1 et 3 ans,OCTO Paris,Non,C,Software engineering,B,4.5,2.75,3.625,4.75,4.0,4.375,2.6666666666666665,Oui,,3.0,5.25,4.5,5.6,4.203333333333333,En mission chez un/des client(s),2.6666666666666665
Entre 3 et 7 ans,OCTO Paris,Non,D,Software engineering,B,2.75,3.0,2.875,4.5,2.75,3.625,3.0,Non,,,3.75,4.25,3.6,3.65,En mission chez un/des client(s),3.6666666666666665
Entre 3 et 7 ans,OCTO Paris,Non,E,Software engineering,B,4.25,3.25,3.75,2.75,3.0,2.875,4.666666666666667,Non,,,5.5,4.0,4.2,4.591666666666667,En mission chez un/des client(s),1.6666666666666667
Entre 3 et 7 ans,OCTO Paris,Non,F,Software engineering,B,3.75,6.0,4.875,4.25,3.25,3.75,4.333333333333333,Non,,,3.5,5.25,4.2,4.320833333333333,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,OCTO Paris,Non,G,Software engineering,B,4.25,3.75,4.0,3.75,6.0,4.875,3.0,Non,,,2.75,5.75,5.8,4.325,Fonctions coeur,4.666666666666667
Entre 1 et 3 ans,OCTO Paris,Non,H,Software engineering,B,3.25,3.5,3.375,4.25,3.75,4.0,4.333333333333333,Non,,,3.5,2.75,4.6,3.795833333333333,Fonctions coeur,2.3333333333333335
Moins de 1 an,Toulouse,Non,User Research,Software engineering,B,4.0,3.5,3.75,3.25,3.5,3.375,4.666666666666667,Non,,,5.75,4.75,3.6,4.691666666666667,Fonctions coeur,6.0
Entre 3 et 7 ans,Chtis,Non,User Research,Software engineering,B,2.0,2.5,2.25,4.0,3.5,3.75,3.0,Oui,,3.0,4.5,5.5,5.0,4.2,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,Toulouse,Non,User Research,Software engineering,B,3.5,4.5,4.0,2.0,2.5,2.25,4.666666666666667,Oui,,3.0,3.75,3.5,4.6,3.9033333333333333,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,Chtis,Non,A,Software engineering,B,5.25,5.0,5.125,3.5,4.5,4.0,3.0,Oui,,3.0,4.0,4.75,3.6,3.6700000000000004,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,Toulouse,Non,B,Software engineering,B,2.75,3.0,2.875,5.25,5.0,5.125,4.666666666666667,Non,,,3.5,3.75,2.6,3.629166666666667,Fonctions coeur,3.6666666666666665
Plus de 7 ans,OCTO Paris,Non,C,Software engineering,B,5.0,5.25,5.125,2.75,3.0,2.875,4.0,Non,,,3.5,2.25,4.6,3.5875,Fonctions coeur,4.666666666666667
Entre 1 et 3 ans,OCTO Paris,Non,D,Software engineering,B,3.5,4.75,4.125,5.0,5.25,5.125,5.0,Non,,,3.25,3.75,2.8,3.7,Fonctions coeur,2.3333333333333335
Entre 1 et 3 ans,OCTO Paris,Non,E,Software engineering,B,4.25,4.25,4.25,3.5,4.75,4.125,5.666666666666667,Non,,,4.5,5.0,4.8,4.991666666666667,Fonctions coeur,6.0
Entre 1 et 3 ans,OCTO Paris,Non,F,Software engineering,B,4.0,4.75,4.375,4.25,4.25,4.25,5.333333333333333,Non,,,5.0,2.25,3.4,3.995833333333333,Fonctions coeur,3.6666666666666665
Plus de 7 ans,OCTO Paris,Non,G,Software engineering,B,5.25,5.25,5.25,4.0,4.75,4.375,4.0,Non,,,4.0,3.25,3.6,3.7125,Fonctions coeur,3.6666666666666665
Entre 3 et 7 ans,OCTO Paris,Non,H,Software engineering,C,3.75,3.5,3.625,5.25,5.25,5.25,3.6666666666666665,Oui,,3.0,4.5,4.5,2.4,3.6133333333333333,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,OCTO Paris,Non,User Research,Software engineering,C,3.5,3.75,3.625,3.75,3.5,3.625,5.333333333333333,Oui,,3.0,3.5,4.0,4.2,4.006666666666666,Fonctions coeur,3.6666666666666665
Entre 3 et 7 ans,OCTO Paris,Non,User Research,Software engineering,C,2.5,4.5,3.5,3.5,3.75,3.625,4.0,Oui,,3.0,6.5,4.0,3.8,4.26,Fonctions coeur,4.666666666666667
Entre 1 et 3 ans,Toulouse,Non,User Research,Software engineering,C,5.75,4.0,4.875,2.5,4.5,3.5,5.333333333333333,Non,,,4.0,3.0,4.2,4.133333333333333,Fonctions coeur,2.3333333333333335
Entre 1 et 3 ans,Chtis,Non,A,Software engineering,C,2.25,3.5,2.875,5.75,4.0,4.875,4.333333333333333,Non,,,3.0,1.5,3.4,3.058333333333333,Fonctions coeur,6.0
Moins de 1 an,Toulouse,Non,B,Software engineering,C,4.0,3.0,3.5,2.25,3.5,2.875,3.3333333333333335,Non,,,3.5,2.75,3.4,3.2458333333333336,Fonctions coeur,3.6666666666666665
Plus de 7 ans,Chtis,Non,C,Software engineering,C,5.5,1.5,3.5,4.0,3.0,3.5,3.0,Non,,,5.0,4.0,2.8,3.7,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,Toulouse,Non,D,Software engineering,C,5.5,4.75,5.125,5.5,1.5,3.5,6.666666666666667,Non,,,4.25,3.0,3.8,4.429166666666667,Fonctions coeur,3.6666666666666665
Entre 1 et 3 ans,OCTO Paris,Non,E,Software engineering,C,3.75,2.5,3.125,5.5,4.75,5.125,3.6666666666666665,Non,,,2.5,3.5,4.4,3.5166666666666666,Fonctions coeur,3.6666666666666665
Plus de 7 ans,OCTO Paris,Non,F,Software engineering,C,4.5,2.75,3.625,3.75,2.5,3.125,5.0,Non,,,3.75,5.25,2.8,4.2,Fonctions coeur,4.666666666666667
Entre 3 et 7 ans,OCTO Paris,Non,G,Software engineering,C,2.5,4.5,3.5,5.5,1.5,3.5,3.3333333333333335,Non,,,3.5,3.75,3.8,3.595833333333333,Fonctions coeur,2.3333333333333335
Entre 1 et 3 ans,OCTO Paris,Non,H,Software engineering,C,2.5,4.75,3.625,5.5,4.75,5.125,3.6666666666666665,Non,,,5.0,3.5,3.8,3.9916666666666663,Fonctions coeur,6.0
Plus de 7 ans,OCTO Paris,Oui,User Research,Mairie,Aucun,4.25,5.0,4.625,4.75,3.75,4.25,6.0,Non,,,4.25,3.75,4.2,4.55,fonctions coeur,
Moins de 1 an,OCTO Paris,Oui,User Research,Mairie,Aucun,4.0,3.5,3.75,3.75,3.75,3.75,6.0,Non,,,4.5,3.75,3.6,4.4625,fonctions coeur,4.0
Entre 3 et 7 ans,OCTO Paris,Oui,User Research,Mairie,Aucun,3.25,4.0,3.625,5.25,2.75,4.0,6.0,Non,,,5.25,4.5,3.0,4.6875,fonctions coeur,5.5
Moins de 1 an,OCTO Paris,Oui,User Research,Mairie,Aucun,5.25,4.5,4.875,5.0,5.0,5.0,6.0,Non,,,5.5,2.75,3.6,4.4625,fonctions coeur,3.5
